host	ip	scheme	status	server	title	content_length
portal.deveurope.bb.com.br	170.66.17.25	https	200	nginx	aplonAPI developers portal	3516
portaldsextranet.dsc.bb.com.br	170.66.14.91	http	302			0
prov.plataforma-gam.bb.com.br	170.66.14.206	https	403			65
publicador.developers.bb.com.br	170.66.14.91	https	200		Welcome to your Strapi app	3290
qrcodepix-h.bb.com.br	201.33.148.156	https	503			2503
qrcodepix.bb.com.br	170.66.14.11	http	308		308 Permanent Redirect	164
redirect.of.bb.com.br	170.66.14.150	http	308		308 Permanent Redirect	164
research.bb.com.br	170.66.14.91	https	200		Pesquisa BB	4519
sandbox.bb.com.br	170.66.14.91	http	302			0
sandboxapis.deveurope.bb.com.br	170.66.17.25	https	502	nginx	502 Bad Gateway	150
show.zeneto.bb.com.br	170.66.14.91	http	302			0
solbot.bb.com.br	201.33.148.156	https	200	Python/3.11 aiohttp/3.8.5		34
solicitacao-patrocinio.bb.com.br	170.66.14.91	http	302			0
space.bb.com.br	170.66.14.78	https	200	nginx	Cisco Meeting Server web app	991
spid.bb.com.br	170.66.14.150	https	200		Spid	27460
status.bb.com.br	170.66.14.118	https	302	nginx	302 Found	138
survey.bb.com.br	170.66.14.91	http	302			0
svc-outros.nuvem.dc.bb.com.br	170.66.14.91	http	302			0
trabalhoremoto.bb.com.br	170.66.1.22	https	200	nginx/1.29.4	Welcome to nginx!	615
valordebensrurais.bb.com.br	170.66.14.91	https	200		BB Valor de Bens Imóveis Rurais	2780
vantagens-api.apps.bb.com.br	170.66.14.91	http	302			0
vantagens-cadastro-api.rcp.bb.com.br	170.66.14.91	http	302			0
vantagens-gateway-api.rcp.bb.com.br	170.66.14.91	http	302			0
vantagens-integracao-iib-api.rcp.bb.com.br	170.66.14.91	http	302			0
web.deveurope.bb.com.br	170.66.17.25	https	403	nginx		24
web.search.api.bb.com.br	170.66.11.27	https	200			28
www.dc.bb.com.br	170.66.11.10	https	200	Oracle-HTTP-Server	[bb.com.br]	281
www.ingress.svc-outros.nuvem.bb.com.br	170.66.14.91	http	302			0
www.pagaroureceber.bb.com.br	170.66.14.91	http	302			0
www14.bb.com.br	170.66.212.5	https	403	nginx	403 Forbidden	162
www14.dc.bb.com.br	170.66.212.5	https	403	nginx	403 Forbidden	162
www18.bb.com.br	170.66.14.186	https	503			62
www30.bb.com.br	170.66.17.1	https	200			248
www46.bb.com.br	170.66.11.24	https	200		Banco do Brasil	3508
